AcYear,Semester,Year,Course_num_official,Course_num_grouped,Course Name,Discipline,CB_type,Enrollment,Cap,Percent_cap
20212022,spr,2022,BIOL-3081,BIOL-3081,Herpetology w/Lab,Org,Org Div,15,16,93.75
20192020,spr,2020,BIOL-3081NL,BIOL-3081NL,Herpetology-No Lab,Org,Org Div,19,20,95
20202021,spr,2021,BIOL-3081NL,BIOL-3081NL,Herpetology-No Lab,Org,Org Div,17,20,85
20192020,fall,2019,BIOL-4027,BIOL-4027,Insect Biology w/Lab,Org,Org Div,7,11,63.63636364
20202021,fall,2020,BIOL-4027,BIOL-4027,Insect Biology w/Lab,Org,Org Div,11,11,100
20182019,fall,2018,BIOL-227,BIOL-227,Mammalogy w/Lab,Eco_Evo,Org Div,15,16,93.75
20172018,spr,2018,BIOL-3067,BIOL-3067,Microbial Ecology,Eco_Evo,Org Div,8,16,50
20182019,spr,2019,BIOL-3067WL,BIOL-3067WL,Microbial Ecology w/Lab,Eco_Evo,Org Div,9,16,56.25
20212022,spr,2022,BIOL-3067WL,BIOL-3067WL,Microbial Ecology w/Lab,Eco_Evo,Org Div,12,16,75
20172018,fall,2017,BIOL-231,BIOL-231,Microbiology w/Lab,Org,Org Div,32,32,100
20182019,fall,2018,BIOL-231,BIOL-231,Microbiology w/Lab,Org,Org Div,32,32,100
20192020,fall,2019,BIOL-231,BIOL-231,Microbiology w/Lab,Org,Org Div,33,32,103.125
20202021,fall,2020,BIOL-231,BIOL-231,Microbiology w/Lab,Org,Org Div,28,32,87.5
20212022,fall,2021,BIOL-231,BIOL-231,Microbiology w/Lab,Org,Org Div,29,32,90.625
20202021,su,2021,BIOL-231,BIOL-231,Microbiology w/Lab,Org,Org Div,15,16,93.75
20202021,su,2021,BIOL-4036,BIOL-4036,Mosses & Sedges w/ Lab,Org,Org Div,9,11,81.81818182
20182019,fall,2018,BIOL-325,BIOL-325,Mycology w/Lab,Org,Org Div,7,11,63.63636364
20212022,fall,2021,BIOL-325,BIOL-325,Mycology w/Lab,Org,Org Div,5,11,45.45454545
20192020,spr,2020,BIOL-218,BIOL-218,Ornithology w/Lab,Org,Org Div,13,16,81.25
20202021,spr,2021,BIOL-218,BIOL-218,Ornithology w/Lab,Org,Org Div,10,16,62.5
20182019,spr,2019,BIOL-224,BIOL-224,Plant Biology w/Lab,Org,Org Div,7,16,43.75
20202021,spr,2021,BIOL-224,BIOL-224,Plant Biology w/Lab,Org,Org Div,16,16,100
20212022,spr,2022,BIOL-224,BIOL-224,Plant Biology w/Lab,Org,Org Div,10,16,62.5
20172018,fall,2017,BIOL-319,BIOL-319,Plant Systematics w/Lab,Eco_Evo,Org Div,6,11,54.54545455
20202021,su,2021,BIOL-4035SUR,BIOL-4035SUR,SoilMicrobialDivers&An w/Lab,Org,Org Div,3,11,27.27272727
20182019,spr,2019,BIOL-4013,BIOL-4013,Adv Extreme Physiology & Medi,Org,,9,,#DIV/0!
20172018,spr,2018,BIOL-415,BIOL-415,Advanced Biochemistry,Molec,,8,,#DIV/0!
20182019,spr,2019,BIOL-415,BIOL-415,Advanced Biochemistry,Molec,,4,,#DIV/0!
20192020,spr,2020,BIOL-415,BIOL-415,Advanced Biochemistry,Molec,,5,,#DIV/0!
20202021,spr,2021,BIOL-415,BIOL-415,Advanced Biochemistry,Molec,,5,,#DIV/0!
20212022,spr,2022,BIOL-415,BIOL-415,Advanced Biochemistry,Molec,,5,,#DIV/0!
